Date,AAPL,BNDW,DAL,EEM,IAG,JPIE,MINT,MSFT,MU,SPCX,SPY,URTH,VGIT,VT,VTIP,WMT,XLF,XLV
2021-11-02,146.32518005371094,66.94963836669922,38.9865608215332,45.219966888427734,2.7799999713897705,38.760066986083984,83.80134582519531,319.71392822265625,69.09716796875,,433.08892822265625,124.48395538330078,57.64517593383789,97.818115234375,42.9715461730957,46.8809928894043,37.187686920166016,124.46893310546875
2021-11-03,147.75897216796875,66.87400817871094,39.807029724121094,45.433349609375,2.819999933242798,38.81314468383789,83.81781005859375,320.5488586425781,69.57563781738281,,435.73309326171875,125.34349060058594,57.55070495605469,98.47174835205078,42.97979736328125,47.025028228759766,37.32583236694336,125.20002746582031
2021-11-04,147.24200439453125,67.11774444580078,39.565711975097656,45.32666015625,2.8499999046325684,38.825462341308594,83.84253692626953,322.89068603515625,70.5423812866211,,437.7865295410156,125.6207504272461,57.74824905395508,98.6351318359375,43.07060623168945,47.36945343017578,36.83772659301758,124.33938598632812
2021-11-05,147.76947021484375,67.39510345458984,42.75104904174805,45.2733154296875,3.0299999713897705,38.860084533691406,83.85078430175781,322.52593994140625,71.20640563964844,,439.3054504394531,126.02742767333984,57.91146469116211,98.952880859375,43.087120056152344,47.040679931640625,36.85615158081055,122.95128631591797
2021-11-08,146.94895935058594,67.25223541259766,43.09854507446289,45.691192626953125,3.0799999237060547,38.871612548828125,83.85901641845703,323.41851806640625,72.80784606933594,,439.6804504394531,126.11058044433594,57.7310676574707,99.16170501708984,43.11189270019531,46.74009323120117,37.05875778198242,123.68235778808594
2021-11-09,147.31036376953125,67.46240234375,42.982704162597656,45.513362884521484,3.069999933242798,38.860084533691406,83.85078430175781,322.4203796386719,73.81365203857422,,438.2271728515625,125.73165893554688,57.89426803588867,98.88935089111328,43.194454193115234,46.90291213989258,36.85615158081055,123.22891235351562
2021-11-10,144.4874725341797,67.07569885253906,42.191200256347656,45.32666015625,3.1700000762939453,38.833160400390625,83.82605743408203,317.4776916503906,71.68489074707031,,434.7017517089844,124.4931869506836,57.481971740722656,97.9361343383789,43.21096420288086,46.480186462402344,36.791690826416016,123.58053588867188
2021-11-11,144.43861389160156,67.00849914550781,41.94022750854492,46.109073638916016,3.299999952316284,38.760066986083984,83.79312133789062,319.0421447753906,72.79811096191406,,434.84234619140625,124.76124572753906,57.370296478271484,98.2447738647461,43.21096420288086,46.49898147583008,36.89298629760742,123.21961975097656
2021-11-12,146.50946044921875,67.01690673828125,40.75297164916992,46.233551025390625,3.319999933242798,38.8177604675293,83.79312133789062,323.15936279296875,75.48347473144531,,438.12396240234375,125.72242736816406,57.46480941772461,98.89842224121094,43.26875305175781,46.267269134521484,36.975868225097656,123.83041381835938
2021-11-15,146.51919555664062,66.84037780761719,40.90741729736328,46.08240509033203,3.430000066757202,38.74468994140625,83.7601547241211,322.5355529785156,74.97569274902344,,438.2740478515625,125.6207504272461,57.34453201293945,98.84394836425781,43.343055725097656,46.0011100769043,36.975868225097656,123.06228637695312
2021-11-16,147.49598693847656,66.77314758300781,39.613975524902344,46.14463806152344,3.359999895095825,38.730838775634766,83.7601547241211,325.8370056152344,75.00497436523438,,440.00872802734375,125.92574310302734,57.32734680175781,99.01644897460938,43.392581939697266,44.83002853393555,36.939029693603516,123.58053588867188
2021-11-17,149.92825317382812,66.89922332763672,39.29543685913086,45.90457534790039,3.380000114440918,38.75238800048828,83.76838684082031,326.0581359863281,73.68671417236328,,438.93975830078125,125.59304809570312,57.45621109008789,98.65330505371094,43.433868408203125,44.44487380981445,36.51539993286133,123.7563705444336
2021-11-18,154.20660400390625,66.94963836669922,38.7259407043457,45.34444046020508,3.2899999618530273,38.75238800048828,83.76838684082031,328.1252746582031,75.21004486083984,,440.43060302734375,125.89803314208984,57.47338104248047,98.68962097167969,43.343055725097656,44.82689666748047,36.33121109008789,123.80265045166016
2021-11-19,156.82437133789062,67.16820526123047,38.310882568359375,45.2733154296875,3.1600000858306885,38.75623321533203,83.7601547241211,329.89453125,81.07880401611328,,439.64300537109375,125.34349060058594,57.50774383544922,98.2447738647461,43.2357177734375,44.58579635620117,35.93520736694336,123.05306243896484
2021-11-22,157.28347778320312,66.92440795898438,38.38810729980469,44.908775329589844,3.180000066757202,38.6723747253418,83.74369812011719,326.7407531738281,81.8893051147461,,438.4052429199219,124.69652557373047,57.224273681640625,97.68193054199219,43.11189270019531,45.33415222167969,36.44171905517578,122.49781799316406
2021-11-23,157.66444396972656,66.58820343017578,38.15644454956055,44.86431884765625,3.2100000381469727,38.633140563964844,83.71073150634766,324.673583984375,83.40289306640625,,438.9867248535156,124.70575714111328,57.12977981567383,97.66378784179688,43.14491271972656,45.65666961669922,37.01270294189453,122.62736511230469
2021-11-24,158.18212890625,66.73109436035156,38.310882568359375,44.80208969116211,3.200000047683716,38.57160568237305,83.7025146484375,324.894775390625,84.18408966064453,,440.1587219238281,124.7981948852539,57.18132400512695,97.7182388305664,43.202701568603516,45.88525390625,36.92982482910156,122.58111572265625
2021-11-26,153.17115783691406,67.15977478027344,35.11589813232422,43.299495697021484,3.0899999141693115,38.39851379394531,83.7025146484375,316.98175048828125,81.45964813232422,,430.34173583984375,121.997802734375,57.6623649597168,95.25802612304688,43.194454193115234,45.371734619140625,35.7049674987793,122.12763214111328
2021-11-29,156.5216064453125,67.10936737060547,34.98076248168945,43.46842956542969,3.119999885559082,38.49082565307617,83.76838684082031,323.6640930175781,84.11571502685547,,435.6205749511719,123.06990814208984,57.62799835205078,96.1023178100586,43.194454193115234,44.66093826293945,35.81548309326172,122.46076202392578
2021-11-30,161.46414184570312,67.25223541259766,34.9421501159668,43.42397689819336,3.0899999141693115,38.46390151977539,83.7601547241211,317.856689453125,82.0260238647461,,427.1444091796875,121.16596984863281,57.7568359375,94.65887451171875,43.02933120727539,44.03468322753906,34.95899963378906,120.0546646118164
2021-12-01,160.94647216796875,67.29011535644531,32.36492919921875,43.584007263183594,2.9800000190734863,38.48165512084961,83.76673889160156,317.36627197265625,83.14898681640625,,422.4000549316406,119.73345184326172,57.83506393432617,93.66026306152344,42.95502853393555,42.941890716552734,34.572208404541016,119.84184265136719
2021-12-02,159.9599151611328,67.33218383789062,35.36686325073242,44.117469787597656,2.890000104904175,38.558780670166016,83.72557067871094,316.7991027832031,80.9323501586914,,428.8695983886719,121.43400573730469,57.68031311035156,95.10372161865234,42.97979736328125,42.41896057128906,35.603660583496094,120.42486572265625
2021-12-03,158.0844268798828,67.53414916992188,34.729801177978516,43.49510192871094,2.869999885559082,38.597347259521484,83.71730041503906,310.56866455078125,79.70195007324219,,425.13800048828125,120.5190200805664,57.88666534423828,94.22312927246094,43.03758239746094,43.057743072509766,35.02347183227539,120.6469497680664
2021-12-06,161.4837188720703,67.42474365234375,36.81474685668945,43.83296203613281,2.940000057220459,38.527923583984375,83.72557067871094,313.6261901855469,80.5124282836914,,430.1729431152344,121.76673126220703,57.70611572265625,95.25802612304688,43.03758239746094,43.5242919921875,35.55760955810547,121.33177947998047
2021-12-07,167.20773315429688,67.23963928222656,36.71821975708008,44.52646255493164,3.009999990463257,38.713043212890625,83.67609405517578,322.01995849609375,83.8130111694336,,439.07098388671875,124.30833435058594,57.52556228637695,97.2280044555664,43.09537887573242,43.38338851928711,36.19306182861328,122.895751953125
2021-12-08,171.01719665527344,67.18074798583984,37.529029846191406,44.704280853271484,3.0899999141693115,38.70917892456055,83.67609405517578,322.0679626464844,83.9985580444336,,440.2337646484375,124.7334976196289,57.44820022583008,97.59115600585938,43.136661529541016,42.94502258300781,35.99966812133789,123.82115936279297
2021-12-09,170.50926208496094,67.24801635742188,37.162235260009766,44.49090576171875,2.950000047683716,38.68605041503906,83.6843490600586,320.2701110839844,82.93415832519531,,437.26141357421875,123.6613998413086,57.51698684692383,96.71963500976562,43.02106475830078,43.5423469543457,35.92599868774414,124.10804748535156
2021-12-10,175.28579711914062,67.23963928222656,36.85335159301758,44.52646255493164,2.9100000858306885,38.68989944458008,83.68024444580078,329.3464050292969,83.52984619140625,,441.3775939941406,124.38227844238281,57.5341682434082,97.20987701416016,43.02106475830078,44.33774185180664,35.96284103393555,124.54297637939453
2021-12-13,171.66189575195312,67.44158172607422,35.58887481689453,43.8203239440918,2.9200000762939453,38.65519332885742,83.6884536743164,326.3274230957031,82.36781311035156,,437.46771240234375,123.29788208007812,57.67173385620117,96.22940826416016,42.99631118774414,45.13628387451172,35.57604217529297,125.71827697753906
2021-12-14,170.28460693359375,67.33218383789062,35.26068115234375,43.72112274169922,2.8499999046325684,38.67448043823242,83.69671630859375,315.6933898925781,81.33269500732422,,434.4579162597656,122.31118774414062,57.62013626098633,95.6302490234375,42.913753509521484,45.56698226928711,35.78785705566406,125.20926666259766
2021-12-15,175.13929748535156,67.29853820800781,35.33790969848633,43.5948600769043,2.809999942779541,38.651336669921875,83.72140502929688,321.76031494140625,83.64702606201172,,441.2462463378906,124.17283630371094,57.55996322631836,96.837646484375,42.97979736328125,45.82792663574219,35.88915252685547,127.77268981933594
2021-12-16,168.2626495361328,67.29011535644531,34.55604553222656,43.64897537231445,2.9200000762939453,38.67448043823242,83.7049331665039,312.3858947753906,80.746826171875,,437.3551940917969,123.5771255493164,57.73191833496094,96.29295349121094,43.045841217041016,45.063968658447266,36.340423583984375,128.53152465820312
2021-12-17,167.16864013671875,67.3658218383789,35.28964614868164,43.43253707885742,2.940000057220459,38.6590461730957,83.72140502929688,311.3281555175781,81.04953002929688,,432.70037841796875,122.2646484375,57.78348922729492,95.4123764038086,42.99631118774414,43.620948791503906,35.5391960144043,127.63389587402344
2021-12-20,165.81088256835938,67.3405990600586,35.10624313354492,42.783206939697266,2.9700000286102295,38.70917892456055,83.7049331665039,307.5880432128906,80.1023178100586,,428.099365234375,121.24073028564453,57.79208755493164,94.53887939453125,43.00456619262695,43.762428283691406,34.84888458251953,126.8609619140625
2021-12-21,168.97572326660156,67.13865661621094,37.181541442871094,43.50468063354492,2.9600000381469727,38.79402160644531,83.71316528320312,314.6838073730469,88.54905700683594,,435.7019958496094,123.19550323486328,57.63734436035156,96.1395263671875,42.99631118774414,43.89445877075195,35.57065200805664,127.39051055908203
2021-12-22,171.564208984375,67.13023376464844,37.77034378051758,43.712100982666016,3.0799999237060547,38.82487487792969,83.69671630859375,320.3661804199219,88.21702575683594,,440.05841064453125,124.28455352783203,57.654518127441406,97.0267333984375,43.06235122680664,43.951053619384766,35.73722839355469,128.87684631347656
2021-12-23,172.18939208984375,67.02196502685547,37.93444061279297,43.93756103515625,3.140000104904175,38.84416580200195,83.6884536743164,321.7987365722656,92.20116424560547,,442.7965087890625,125.17816925048828,57.57579040527344,97.64871978759766,43.04385757446289,43.85358810424805,35.92230224609375,129.40640258789062
2021-12-27,176.14540100097656,67.0901870727539,37.644859313964844,44.13597106933594,3.119999885559082,38.83645248413086,83.68024444580078,329.2599182128906,92.21090698242188,,449.0630798339844,126.55579376220703,57.5671501159668,98.6822738647461,43.085899353027344,44.25285720825195,36.29243850708008,130.77197265625
2021-12-28,175.12953186035156,67.0645980834961,38.25297164916992,43.99167251586914,3.1500000953674316,38.855735778808594,83.68024444580078,328.1060485839844,90.75593566894531,,448.6961364746094,126.42544555664062,57.59309387207031,98.57250213623047,43.11113739013672,44.88791275024414,36.310943603515625,130.4282684326172
2021-12-29,175.21739196777344,66.77469635009766,37.79930114746094,43.793270111083984,3.0899999141693115,38.89043426513672,83.69671630859375,328.7791442871094,93.91001892089844,,449.2700500488281,126.50924682617188,57.45463562011719,98.60908508300781,43.18682098388672,44.86591339111328,36.26467514038086,131.1714324951172
2021-12-30,174.0648193359375,66.92817687988281,37.6834716796875,44.29496383666992,3.130000114440918,38.8958625793457,83.70329284667969,326.2504577636719,91.68358612060547,,448.02801513671875,126.32951354980469,57.5671501159668,98.52677917480469,43.228885650634766,45.010528564453125,36.19990158081055,131.44085693359375
2021-12-31,173.4494171142578,66.89405059814453,37.722084045410156,44.07840347290039,3.130000114440918,38.87650680541992,83.71978759765625,323.365966796875,91.05797576904297,,446.89898681640625,126.03144836425781,57.51521301269531,98.26152038574219,43.228885650634766,45.48838424682617,36.1351203918457,130.88345336914062
2022-01-03,177.78639221191406,66.62122344970703,38.89003372192383,44.39421081542969,3.0299999713897705,38.87650680541992,83.70329284667969,321.8564147949219,93.59960174560547,,449.48638916015625,126.71134185791016,57.22101974487305,98.82862091064453,43.20365524291992,45.4758186340332,36.57929611206055,129.53643798828125
2022-01-04,175.52996826171875,66.5700912475586,39.17961883544922,44.240821838378906,3.059999942779541,38.88039016723633,83.67857360839844,316.33758544921875,94.17633056640625,,449.3359680175781,126.71134185791016,57.238319396972656,98.86518859863281,43.18682098388672,44.6426887512207,37.54167175292969,127.82713317871094
2022-01-05,170.8609161376953,66.41659545898438,38.88037872314453,43.51896286010742,2.940000057220459,38.79135513305664,83.66209411621094,304.1940612792969,92.27992248535156,,440.7076416015625,124.58783721923828,57.047977447509766,97.18222045898438,43.060672760009766,45.24631118774414,37.106746673583984,126.91671752929688
2022-01-06,168.0086669921875,66.32283020019531,38.71628952026367,43.71747970581055,2.859999895095825,38.70235061645508,83.629150390625,301.7903137207031,93.50184631347656,,440.2937316894531,124.3550033569336,56.91817855834961,97.09075164794922,42.959747314453125,45.120567321777344,37.65270233154297,125.44893646240234
2022-01-07,168.17474365234375,66.21198272705078,40.0676383972168,44.114498138427734,2.7899999618530273,38.68220520019531,83.62090301513672,301.94415283203125,92.32878112792969,,438.5529479980469,124.04766845703125,56.805686950683594,96.95356750488281,42.942928314208984,45.551265716552734,38.09687805175781,124.80795288085938
2022-01-10,168.19430541992188,66.15231323242188,39.21821594238281,44.114498138427734,2.859999895095825,38.63653564453125,83.6126480102539,302.165283203125,91.78134155273438,,438.00726318359375,123.53543090820312,56.77108383178711,96.63343048095703,42.95133972167969,45.46323776245117,37.96733474731445,126.08992004394531
2022-01-11,171.01719665527344,66.22906494140625,39.79737091064453,45.134124755859375,2.950000047683716,38.62879180908203,83.629150390625,302.8479309082031,92.08439636230469,,441.9966735839844,124.8207015991211,56.848941802978516,97.74932098388672,43.10272216796875,45.3343391418457,38.30046463012695,127.09322357177734
2022-01-12,171.45680236816406,66.27168273925781,39.19892120361328,45.8830451965332,2.880000114440918,38.713932037353516,83.62090301513672,306.0111999511719,92.97396087646484,,443.1917419433594,125.37018585205078,56.86625289916992,98.28897094726562,42.99338912963867,45.095401763916016,38.32821273803711,126.73091888427734
2022-01-13,168.19430541992188,66.36544799804688,40.02904510498047,45.233375549316406,2.690000057220459,38.675235748291016,83.629150390625,293.0600280761719,93.47250366210938,,437.0850830078125,123.8520736694336,56.97007751464844,97.07246398925781,43.00179672241211,45.733612060546875,38.18016052246094,124.76148223876953
2022-01-14,169.05384826660156,66.12673950195312,38.90934371948242,45.21533203125,2.619999885559082,38.63653564453125,83.60441589355469,298.2520751953125,95.17342376708984,,437.263916015625,123.87071990966797,56.72780990600586,97.06332397460938,42.95133972167969,45.60470962524414,37.78226852416992,124.5478515625
2022-01-18,165.8597412109375,65.74309539794922,38.16608810424805,44.41226577758789,2.559999942779541,38.54364013671875,83.5714111328125,290.9927978515625,90.7842788696289,,429.5201416015625,121.64476013183594,56.41631317138672,95.39865112304688,42.85882568359375,44.80616760253906,36.940185546875,122.8013687133789
2022-01-19,162.37257385253906,65.83683013916016,37.47110366821289,44.601749420166016,2.7899999618530273,38.538238525390625,83.56316375732422,291.64666748046875,87.9787368774414,,425.0601806640625,120.76927947998047,56.52014923095703,94.85900115966797,42.833595275878906,45.252601623535156,36.320194244384766,122.2997055053711
2022-01-20,160.69248962402344,65.95623779296875,37.49041748046875,44.863426208496094,2.700000047683716,38.528160095214844,83.5714111328125,289.9833068847656,83.15946197509766,,420.3555908203125,119.642333984375,56.55476379394531,94.08155059814453,42.84200668334961,44.39747619628906,36.0888557434082,121.50077819824219
2022-01-21,158.64122009277344,66.143798828125,36.54446792602539,44.213748931884766,2.5799999237060547,38.50105667114258,83.5714111328125,284.6278991699219,80.0899658203125,,412.10369873046875,117.52815246582031,56.77973937988281,92.48089599609375,42.89247512817383,44.07365798950195,35.34858322143555,120.2745361328125
2022-01-24,157.86956787109375,66.0414810180664,36.59273147583008,43.591156005859375,2.509999990463257,38.52428436279297,83.60441589355469,284.9547119140625,81.08704376220703,,413.8537902832031,117.44432830810547,56.77973937988281,92.36199188232422,42.9765739440918,44.076812744140625,35.450374603271484,119.87506103515625
2022-01-25,156.072265625,65.95623779296875,37.37459182739258,43.50994110107422,2.549999952316284,38.5103645324707,83.5961685180664,277.37823486328125,78.90713500976562,,408.80108642578125,116.2801284790039,56.71916198730469,91.44734191894531,42.959747314453125,43.11792755126953,35.598426818847656,119.10403442382812
2022-01-26,155.98435974121094,65.6833724975586,37.41319274902344,42.95952606201172,2.4600000381469727,38.528926849365234,83.5384292602539,285.2816467285156,80.12906646728516,,407.7755126953125,115.87964630126953,56.442283630371094,91.03573608398438,42.84200668334961,42.67778778076172,35.69095993041992,118.48160552978516
2022-01-27,155.52525329589844,65.83683013916016,37.007789611816406,42.46324920654297,2.450000047683716,38.38494110107422,83.50547790527344,288.2911682128906,76.95206451416016,,405.7618713378906,115.26495361328125,56.49419021606445,90.3497543334961,42.816776275634766,42.70607376098633,35.36708450317383,118.7881851196289
2022-01-28,166.37747192382812,65.9220962524414,36.94987487792969,42.67078399658203,2.4700000286102295,38.38726043701172,83.5136947631836,296.3868408203125,77.48971557617188,,415.8392028808594,117.2953109741211,56.606666564941406,91.84062957763672,42.900882720947266,43.2342529296875,35.82976531982422,121.21279907226562
2022-01-31,170.72412109375,65.72601318359375,38.310882568359375,44.06937789916992,2.4200000762939453,38.39269256591797,83.5714111328125,299.0019226074219,80.4223403930664,,423.3289489746094,119.51195526123047,56.606666564941406,93.76142883300781,42.942928314208984,43.95418930053711,36.14438247680664,121.90951538085938
2022-02-01,170.55810546875,65.67993927001953,39.08308792114258,44.3400764465332,2.5299999713897705,38.48427200317383,83.55574798583984,296.8675537109375,79.62074279785156,,426.1893005371094,120.4898681640625,56.57463836669922,94.50228881835938,42.84200668334961,44.300018310546875,36.64406967163086,122.23468017578125
2022-02-02,171.75953674316406,65.77383422851562,39.11204147338867,44.267887115478516,2.5199999809265137,38.48039627075195,83.5722427368164,301.3865051269531,82.6120376586914,,430.3293762207031,121.4957504272461,56.6439094543457,95.06023406982422,42.89247512817383,44.28115463256836,36.89392852783203,123.87899017333984
2022-02-03,168.88778686523438,65.45797729492188,38.349483489990234,43.798683166503906,2.549999952316284,38.43460464477539,83.5392837524414,289.64678955078125,80.12906646728516,,420.2144775390625,118.87861633300781,56.50535202026367,93.22174835205078,42.78313064575195,44.32516098022461,36.48676300048828,123.3494873046875
2022-02-04,168.60415649414062,65.09944152832031,38.4653205871582,43.906959533691406,2.5299999713897705,38.38103103637695,83.4897689819336,294.15618896484375,79.34703826904297,,422.1903991699219,119.4188232421875,56.158897399902344,93.63335418701172,42.70743942260742,43.803287506103516,37.106746673583984,122.90353393554688
2022-02-07,167.89019775390625,65.07386779785156,39.51744842529297,43.81672668457031,2.690000057220459,38.27082824707031,83.46503448486328,289.3583679199219,79.05377197265625,,420.8354187011719,119.26978302001953,56.193546295166016,93.52359771728516,42.68220901489258,43.37257766723633,37.21780014038086,122.68987274169922
